id,task,source_branch,source_dev,source_path,dest_path,file_sha,file_size,file_mode,review_status,rule,rule_label,decisive_evidence
S2-0001,email-campaign,lueyang-dev,lueyang,tasks/lueyang/email-campaign/docs/agent_system_prompt.md,tasks/finalpool/email-campaign/docs/agent_system_prompt.md,b5571ff0b8b29deac98e697c5eb8e883a532f763,121,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0012,email-classification-system,jl_dev,jl,tasks/jl/email-classification-system/preprocess/main.py,tasks/finalpool/email-classification-system/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=134B task.md=113B); no CJK characters detected; structure complete
S2-0013,error-tracker,xiaochen_dev,xiaochen,tasks/xiaochen/error-tracker/docs/agent_system_prompt.md,tasks/finalpool/error-tracker/docs/agent_system_prompt.md,7edfe1654a2825a42d61880372c0abd701fb5edf,120,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=120B task.md=85B); no CJK characters detected; structure complete
S2-0014,error-tracker,xiaochen_dev,xiaochen,tasks/xiaochen/error-tracker/docs/task.md,tasks/finalpool/error-tracker/docs/task.md,c405eeb6f1b98d809dbee2958bb85d3b061943d7,85,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=120B task.md=85B); no CJK characters detected; structure complete
S2-0015,error-tracker,xiaochen_dev,xiaochen,tasks/xiaochen/error-tracker/docs/user_system_prompt.md,tasks/finalpool/error-tracker/docs/user_system_prompt.md,98124156820c91c9ee809b9442a4b52138f46abc,48,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=120B task.md=85B); no CJK characters detected; structure complete
S2-0016,error-tracker,xiaochen_dev,xiaochen,tasks/xiaochen/error-tracker/evaluation/main.py,tasks/finalpool/error-tracker/evaluation/main.py,a5a871584aa65f2ffcbbe382c409baa16bdb3464,276,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=120B task.md=85B); no CJK characters detected; structure complete
S2-0017,error-tracker,xiaochen_dev,xiaochen,tasks/xiaochen/error-tracker/groundtruth_workspace/readme.txt,tasks/finalpool/error-tracker/groundtruth_workspace/readme.txt,889635f3d8493187c9551df574b31a6fe5ca5700,35,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=120B task.md=85B); no CJK characters detected; structure complete
S2-0018,expense-tracker,ruige,ruige,tasks/ruige/expense-tracker/docs/agent_system_prompt.md,tasks/finalpool/expense-tracker/docs/agent_system_prompt.md,dd1527c8e113eecde97aee2560abefa0b84b47a3,122,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0019,expense-tracker,ruige,ruige,tasks/ruige/expense-tracker/docs/task.md,tasks/finalpool/expense-tracker/docs/task.md,2d04cc17877d1478cfc19a16b7027502b44e07dd,89,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0020,expense-tracker,ruige,ruige,tasks/ruige/expense-tracker/docs/user_system_prompt.md,tasks/finalpool/expense-tracker/docs/user_system_prompt.md,f33b43ddad7e3c94292f11ce252d3e8b94f347ee,50,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0021,expense-tracker,ruige,ruige,tasks/ruige/expense-tracker/evaluation/main.py,tasks/finalpool/expense-tracker/evaluation/main.py,aa44f7e511c249d1af973b84864d65f3783080b1,278,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0022,expense-tracker,ruige,ruige,tasks/ruige/expense-tracker/preprocess/main.py,tasks/finalpool/expense-tracker/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0023,feedback-collector,lv,lv,tasks/lv/feedback-collector/docs/agent_system_prompt.md,tasks/finalpool/feedback-collector/docs/agent_system_prompt.md,a2f93a5f687816bb7260a7df1eb8b3d0efcac228,125,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=125B task.md=95B); no CJK characters detected; structure complete
S2-0024,feedback-collector,lv,lv,tasks/lv/feedback-collector/docs/task.md,tasks/finalpool/feedback-collector/docs/task.md,0a80d28b35b96121a0fe41009bcfde09c8f16f08,95,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=125B task.md=95B); no CJK characters detected; structure complete
S2-0025,feedback-collector,lv,lv,tasks/lv/feedback-collector/docs/user_system_prompt.md,tasks/finalpool/feedback-collector/docs/user_system_prompt.md,1dcd2febfff0e0cf8983ea0d235a805020521ddb,53,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=125B task.md=95B); no CJK characters detected; structure complete
S2-0026,feedback-collector,lv,lv,tasks/lv/feedback-collector/evaluation/main.py,tasks/finalpool/feedback-collector/evaluation/main.py,987379d7c349b1082a48e3dcab79957f6ef6f684,281,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=125B task.md=95B); no CJK characters detected; structure complete
S2-0027,feedback-collector,lv,lv,tasks/lv/feedback-collector/initial_workspace/readme.txt,tasks/finalpool/feedback-collector/initial_workspace/readme.txt,fb367d1db387cabe5d03204fc154058af3d38565,41,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=125B task.md=95B); no CJK characters detected; structure complete
S2-0028,file-manager,ruige,ruige,tasks/ruige/file-manager/docs/agent_system_prompt.md,tasks/finalpool/file-manager/docs/agent_system_prompt.md,cbdafc0c1771b91fbb7d83108dbbde1fa740e2a6,119,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
S2-0029,file-manager,ruige,ruige,tasks/ruige/file-manager/docs/task.md,tasks/finalpool/file-manager/docs/task.md,e47e4d2eb2cf76d40e429233889c96121cfdd1b9,83,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
S2-0030,file-manager,ruige,ruige,tasks/ruige/file-manager/evaluation/main.py,tasks/finalpool/file-manager/evaluation/main.py,c2121537838967a339dac0eb02d379a68e783404,275,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
S2-0031,file-manager,ruige,ruige,tasks/ruige/file-manager/initial_workspace/readme.txt,tasks/finalpool/file-manager/initial_workspace/readme.txt,39066d1c18ce88edd90983c9a399f868509f68a5,35,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
S2-0032,follow-up-reminder,lueyang-dev,lueyang,tasks/lueyang/follow-up-reminder/docs/agent_system_prompt.md,tasks/finalpool/follow-up-reminder/docs/agent_system_prompt.md,1179aefbab97d59e6d3630ee1156b159a023c167,125,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=125B task.md=95B); no CJK characters detected; structure complete
S2-0033,follow-up-reminder,lueyang-dev,lueyang,tasks/lueyang/follow-up-reminder/docs/task.md,tasks/finalpool/follow-up-reminder/docs/task.md,793f1e2b6bbd40198ef47473d6b5a3b3b00d6fb4,95,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=125B task.md=95B); no CJK characters detected; structure complete
S2-0034,follow-up-reminder,lueyang-dev,lueyang,tasks/lueyang/follow-up-reminder/docs/user_system_prompt.md,tasks/finalpool/follow-up-reminder/docs/user_system_prompt.md,da206470878d2fcd3036c98103e41374e8a00021,53,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=125B task.md=95B); no CJK characters detected; structure complete
S2-0035,follow-up-reminder,lueyang-dev,lueyang,tasks/lueyang/follow-up-reminder/evaluation/main.py,tasks/finalpool/follow-up-reminder/evaluation/main.py,659cacbb0b821a3c19d3d60421adfda1dee7281d,281,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=125B task.md=95B); no CJK characters detected; structure complete
S2-0036,follow-up-reminder,lueyang-dev,lueyang,tasks/lueyang/follow-up-reminder/groundtruth_workspace/readme.txt,tasks/finalpool/follow-up-reminder/groundtruth_workspace/readme.txt,e53072f4489925e86ab63e9139ac46ea57a95c5b,40,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=125B task.md=95B); no CJK characters detected; structure complete
S2-0037,form-builder,yuzhen-dev,yuzhen,tasks/yuzhen/form-builder/docs/agent_system_prompt.md,tasks/finalpool/form-builder/docs/agent_system_prompt.md,870eb246b060e8f27a0e88a6c2ddea1ba7926f47,119,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
S2-0038,form-builder,yuzhen-dev,yuzhen,tasks/yuzhen/form-builder/docs/task.md,tasks/finalpool/form-builder/docs/task.md,c51655a9f857be1aa69df47713602e4bfc8910ff,83,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
S2-0039,form-builder,yuzhen-dev,yuzhen,tasks/yuzhen/form-builder/evaluation/main.py,tasks/finalpool/form-builder/evaluation/main.py,b0d50f2cb2a54e4ae50220d09023200577f91886,275,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
S2-0040,health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/docs/agent_system_prompt.md,tasks/finalpool/health-monitor/docs/agent_system_prompt.md,22489282fa01127b66b5ff8b5e67c1c4a50282b3,121,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0041,health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/docs/task.md,tasks/finalpool/health-monitor/docs/task.md,c072e606de558f670e54b5cfba11f6846e2ff37a,87,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0042,health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/evaluation/main.py,tasks/finalpool/health-monitor/evaluation/main.py,dee407e6636554a1af1f1be958fb1e310479553c,277,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0043,health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/groundtruth_workspace/readme.txt,tasks/finalpool/health-monitor/groundtruth_workspace/readme.txt,a7dabb5a68422eec4a32fb28f031449eb1452b34,36,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0044,health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/initial_workspace/readme.txt,tasks/finalpool/health-monitor/initial_workspace/readme.txt,3c1c546d8ed8101c995dd5beef9a4279623ed70c,37,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0045,health-monitor,xiaochen_dev,xiaochen,tasks/xiaochen/health-monitor/preprocess/main.py,tasks/finalpool/health-monitor/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=121B task.md=87B); no CJK characters detected; structure complete
S2-0046,help-desk,junteng_dev,junteng,tasks/junteng/help-desk/docs/agent_system_prompt.md,tasks/finalpool/help-desk/docs/agent_system_prompt.md,10fab205dbf151acc2d5e5539c84f74458aeb1f5,116,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=116B task.md=77B); no CJK characters detected; structure complete
S2-0047,help-desk,junteng_dev,junteng,tasks/junteng/help-desk/docs/task.md,tasks/finalpool/help-desk/docs/task.md,75b6b54d90fec686967b8824864756abd9b64ebd,77,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=116B task.md=77B); no CJK characters detected; structure complete
S2-0048,help-desk,junteng_dev,junteng,tasks/junteng/help-desk/docs/user_system_prompt.md,tasks/finalpool/help-desk/docs/user_system_prompt.md,fb10b29717704427fcd9ff27299698e5caba32c8,44,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=116B task.md=77B); no CJK characters detected; structure complete
S2-0049,help-desk,junteng_dev,junteng,tasks/junteng/help-desk/evaluation/main.py,tasks/finalpool/help-desk/evaluation/main.py,6e609f0e6240f62d22fdafc511fe6a28f115011b,272,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=116B task.md=77B); no CJK characters detected; structure complete
S2-0050,help-desk,junteng_dev,junteng,tasks/junteng/help-desk/groundtruth_workspace/readme.txt,tasks/finalpool/help-desk/groundtruth_workspace/readme.txt,a0b36c00abe7ca4450a5f92ee1329d23b3f83c83,31,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=116B task.md=77B); no CJK characters detected; structure complete
S2-0051,help-desk,junteng_dev,junteng,tasks/junteng/help-desk/preprocess/main.py,tasks/finalpool/help-desk/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=116B task.md=77B); no CJK characters detected; structure complete
S2-0052,image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/docs/agent_system_prompt.md,tasks/finalpool/image-processor/docs/agent_system_prompt.md,c738b9ebe133115b5536f7ee1d086218ca4e99b1,122,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0053,image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/docs/task.md,tasks/finalpool/image-processor/docs/task.md,6f13328b1879ea0de0cceb14a4775d61b5116294,89,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0054,image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/docs/user_system_prompt.md,tasks/finalpool/image-processor/docs/user_system_prompt.md,bbbda1442d34b6be91a733095116f343d5d66b90,50,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0055,image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/evaluation/main.py,tasks/finalpool/image-processor/evaluation/main.py,1c088069188713e74fecccaa4f4e8f9eda7ab4f5,278,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0056,image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/initial_workspace/readme.txt,tasks/finalpool/image-processor/initial_workspace/readme.txt,72e4d939567bf3e5f36df385066aece2b804c516,38,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0057,image-processor,wenshuo-dev,wenshuo,tasks/wenshuo/image-processor/preprocess/main.py,tasks/finalpool/image-processor/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=122B task.md=89B); no CJK characters detected; structure complete
S2-0058,inventory-management,jl_dev,jl,tasks/jl/inventory-management/docs/agent_system_prompt.md,tasks/finalpool/inventory-management/docs/agent_system_prompt.md,56ee0a61c68c7393f581f05b02679d4f20175b57,127,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=127B task.md=99B); no CJK characters detected; structure complete
S2-0059,inventory-management,jl_dev,jl,tasks/jl/inventory-management/docs/task.md,tasks/finalpool/inventory-management/docs/task.md,a07413add4206c0e0d6f49eb7a5d3839b3e124a7,99,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=127B task.md=99B); no CJK characters detected; structure complete
S2-0060,inventory-management,jl_dev,jl,tasks/jl/inventory-management/evaluation/main.py,tasks/finalpool/inventory-management/evaluation/main.py,640d0821929a5977933b153ba91aef0697bdfbb6,283,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=127B task.md=99B); no CJK characters detected; structure complete
S2-0061,inventory-management,jl_dev,jl,tasks/jl/inventory-management/groundtruth_workspace/readme.txt,tasks/finalpool/inventory-management/groundtruth_workspace/readme.txt,4cf94c012fe1cc5e30d03bf157626cb751008f88,42,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=127B task.md=99B); no CJK characters detected; structure complete
S2-0062,invoice-generator,yuzhen-dev,yuzhen,tasks/yuzhen/invoice-generator/docs/agent_system_prompt.md,tasks/finalpool/invoice-generator/docs/agent_system_prompt.md,c293d75e1e1356dbf45b01b624684863e7eac1b5,124,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=124B task.md=93B); no CJK characters detected; structure complete
S2-0063,invoice-generator,yuzhen-dev,yuzhen,tasks/yuzhen/invoice-generator/docs/task.md,tasks/finalpool/invoice-generator/docs/task.md,a474010b52142c80d6819c6fd3325ee1c3c6e1a9,93,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=124B task.md=93B); no CJK characters detected; structure complete
S2-0064,invoice-generator,yuzhen-dev,yuzhen,tasks/yuzhen/invoice-generator/evaluation/main.py,tasks/finalpool/invoice-generator/evaluation/main.py,3ee457d91f4bb51e4916a8c2da8f36bccf92f2b8,280,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=124B task.md=93B); no CJK characters detected; structure complete
S2-0065,invoice-generator,yuzhen-dev,yuzhen,tasks/yuzhen/invoice-generator/initial_workspace/readme.txt,tasks/finalpool/invoice-generator/initial_workspace/readme.txt,440f4424b1dd8fe42fe9b9482f1581305e383376,40,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=124B task.md=93B); no CJK characters detected; structure complete
S2-0066,load-balancer,zhaochen,zhaochen,tasks/zhaochen/load-balancer/docs/agent_system_prompt.md,tasks/finalpool/load-balancer/docs/agent_system_prompt.md,1c2b01c2794000ece302b598364fe2aed79bf7f8,120,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=120B task.md=85B); no CJK characters detected; structure complete
S2-0067,load-balancer,zhaochen,zhaochen,tasks/zhaochen/load-balancer/docs/task.md,tasks/finalpool/load-balancer/docs/task.md,7c0a385ca9ec28286b83140ca60494e2644753bd,85,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=120B task.md=85B); no CJK characters detected; structure complete
S2-0068,load-balancer,zhaochen,zhaochen,tasks/zhaochen/load-balancer/evaluation/main.py,tasks/finalpool/load-balancer/evaluation/main.py,d052e55c9bf85e7a4d66d51f8d71b35cc728c4c5,276,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=120B task.md=85B); no CJK characters detected; structure complete
S2-0069,load-balancer,zhaochen,zhaochen,tasks/zhaochen/load-balancer/preprocess/main.py,tasks/finalpool/load-balancer/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=120B task.md=85B); no CJK characters detected; structure complete
S2-0070,log-analyzer,ruige,ruige,tasks/ruige/log-analyzer/docs/agent_system_prompt.md,tasks/finalpool/log-analyzer/docs/agent_system_prompt.md,787cac4c94488aadbcfd2a59973ff8cbce0a46c9,119,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
S2-0071,log-analyzer,ruige,ruige,tasks/ruige/log-analyzer/docs/task.md,tasks/finalpool/log-analyzer/docs/task.md,c1c6f84f9813037b551bb6e5d26670fd88ca316e,83,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
S2-0072,log-analyzer,ruige,ruige,tasks/ruige/log-analyzer/evaluation/main.py,tasks/finalpool/log-analyzer/evaluation/main.py,9f2e006a08d1d20ca406dd698cd2b826ce5263d9,275,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
S2-0073,log-analyzer,ruige,ruige,tasks/ruige/log-analyzer/initial_workspace/readme.txt,tasks/finalpool/log-analyzer/initial_workspace/readme.txt,beee2d168acd9fce94b7ff29254be4ce52684679,35,100644,KEEP,E0,Passes all inclusion criteria,evaluation/main.py present; all docs at standard template byte-sizes (agent_system_prompt.md=119B task.md=83B); no CJK characters detected; structure complete
