task,source_branch,source_dev,source_path,dest_path,file_sha,file_size,file_mode
blog-engine,gyy,gyy,tasks/gyy/blog-engine/groundtruth_workspace/readme.txt,tasks/finalpool/blog-engine/groundtruth_workspace/readme.txt,1de574c1486ed5a8f488e3b975c1a445b6986840,33,100644
blog-engine,gyy,gyy,tasks/gyy/blog-engine/initial_workspace/readme.txt,tasks/finalpool/blog-engine/initial_workspace/readme.txt,2a1248ef2612c50d0e96f3847efb1cf03922930e,34,100644
blog-engine,gyy,gyy,tasks/gyy/blog-engine/preprocess/main.py,tasks/finalpool/blog-engine/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
booking-system,junteng_dev,junteng,tasks/junteng/booking-system/docs/agent_system_prompt.md,tasks/finalpool/booking-system/docs/agent_system_prompt.md,9f31a9f20a8576fbbed62cd7c4ae87e70e755cf1,121,100644
booking-system,junteng_dev,junteng,tasks/junteng/booking-system/docs/task.md,tasks/finalpool/booking-system/docs/task.md,7a39ea59fd17d6e918b7196ec1a5d72abcca2860,87,100644
booking-system,junteng_dev,junteng,tasks/junteng/booking-system/docs/user_system_prompt.md,tasks/finalpool/booking-system/docs/user_system_prompt.md,6db1275608aa5347ba9ffc9686e89b553d649587,49,100644
booking-system,junteng_dev,junteng,tasks/junteng/booking-system/evaluation/main.py,tasks/finalpool/booking-system/evaluation/main.py,6233aa8b1ea587f2bed7d53cf8f4d2692a30a24e,277,100644
booking-system,junteng_dev,junteng,tasks/junteng/booking-system/groundtruth_workspace/readme.txt,tasks/finalpool/booking-system/groundtruth_workspace/readme.txt,4585d8e79e9954bf5f34c4f80196d527d71ea6c7,36,100644
booking-system,junteng_dev,junteng,tasks/junteng/booking-system/initial_workspace/readme.txt,tasks/finalpool/booking-system/initial_workspace/readme.txt,96007f01eb708f5e1be3da52ceb877825ae022db,37,100644
booking-system,junteng_dev,junteng,tasks/junteng/booking-system/preprocess/main.py,tasks/finalpool/booking-system/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
cache-optimizer,wenshuo-dev,wenshuo,tasks/wenshuo/cache-optimizer/docs/agent_system_prompt.md,tasks/finalpool/cache-optimizer/docs/agent_system_prompt.md,e8a0f83716fc6ae613da604a058bcd48bf58c9fd,122,100644
cache-optimizer,wenshuo-dev,wenshuo,tasks/wenshuo/cache-optimizer/docs/task.md,tasks/finalpool/cache-optimizer/docs/task.md,fe0ef157e9d4e46b405e78e85239dc2d48d5c73e,89,100644
cache-optimizer,wenshuo-dev,wenshuo,tasks/wenshuo/cache-optimizer/evaluation/main.py,tasks/finalpool/cache-optimizer/evaluation/main.py,92a32801dee171b20a2577fe09706ad0d1859be5,278,100644
cache-optimizer,wenshuo-dev,wenshuo,tasks/wenshuo/cache-optimizer/preprocess/main.py,tasks/finalpool/cache-optimizer/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
calendar-sync,junteng_dev,junteng,tasks/junteng/calendar-sync/docs/agent_system_prompt.md,tasks/finalpool/calendar-sync/docs/agent_system_prompt.md,a9686f317d8cbf9399ac00b8bdc903e50597fa58,120,100644
calendar-sync,junteng_dev,junteng,tasks/junteng/calendar-sync/docs/task.md,tasks/finalpool/calendar-sync/docs/task.md,9be622c99008e7e34d1c39b6145f87175d3c9076,85,100644
calendar-sync,junteng_dev,junteng,tasks/junteng/calendar-sync/docs/user_system_prompt.md,tasks/finalpool/calendar-sync/docs/user_system_prompt.md,76b7f760ce9a9a10d7277a233f7eae1c79c7422f,48,100644
calendar-sync,junteng_dev,junteng,tasks/junteng/calendar-sync/evaluation/main.py,tasks/finalpool/calendar-sync/evaluation/main.py,9b8b9bea63aa2ad9f1777128732ff80de97b5a39,276,100644
calendar-sync,junteng_dev,junteng,tasks/junteng/calendar-sync/groundtruth_workspace/readme.txt,tasks/finalpool/calendar-sync/groundtruth_workspace/readme.txt,a07ba1f36254f8d5f3fd7439af7fc829eebc5a2a,35,100644
calendar-sync,junteng_dev,junteng,tasks/junteng/calendar-sync/preprocess/main.py,tasks/finalpool/calendar-sync/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
canvas-automation,ruige,ruige,tasks/ruige/canvas-automation/docs/agent_system_prompt.md,tasks/finalpool/canvas-automation/docs/agent_system_prompt.md,57542673b49188ace285f62695180ca38460c3e0,124,100644
canvas-automation,ruige,ruige,tasks/ruige/canvas-automation/docs/task.md,tasks/finalpool/canvas-automation/docs/task.md,c5909995cfec709d73b8d22317b5a6807b773430,93,100644
canvas-automation,ruige,ruige,tasks/ruige/canvas-automation/evaluation/main.py,tasks/finalpool/canvas-automation/evaluation/main.py,c0511c9c52bf305918e9ee91131308c7fc369c50,280,100644
canvas-automation,ruige,ruige,tasks/ruige/canvas-automation/initial_workspace/readme.txt,tasks/finalpool/canvas-automation/initial_workspace/readme.txt,da813cedf9c2a6c263ac78134b5632af19ed141a,40,100644
canvas-automation,ruige,ruige,tasks/ruige/canvas-automation/preprocess/main.py,tasks/finalpool/canvas-automation/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
canvas-grade-automation,jl_dev,jl,tasks/jl/canvas-grade-automation/docs/agent_system_prompt.md,tasks/finalpool/canvas-grade-automation/docs/agent_system_prompt.md,fc8abeded1bf75b46d99a7ff461386a6dda27f87,130,100644
canvas-grade-automation,jl_dev,jl,tasks/jl/canvas-grade-automation/docs/task.md,tasks/finalpool/canvas-grade-automation/docs/task.md,b4bbfddfe6550b2a68b44d449b22e14e08fb6123,105,100644
canvas-grade-automation,jl_dev,jl,tasks/jl/canvas-grade-automation/evaluation/main.py,tasks/finalpool/canvas-grade-automation/evaluation/main.py,2e5b6f752eff456a70316987ebdab6f265507f39,286,100644
canvas-grade-automation,jl_dev,jl,tasks/jl/canvas-grade-automation/groundtruth_workspace/readme.txt,tasks/finalpool/canvas-grade-automation/groundtruth_workspace/readme.txt,6e09110842df2e9ce9485c99f8860c5b4099d827,45,100644
certificate-manager,zhaochen,zhaochen,tasks/zhaochen/certificate-manager/docs/agent_system_prompt.md,tasks/finalpool/certificate-manager/docs/agent_system_prompt.md,797cdb2e91381bf553fed995bdcce34650af9ebb,126,100644
certificate-manager,zhaochen,zhaochen,tasks/zhaochen/certificate-manager/docs/task.md,tasks/finalpool/certificate-manager/docs/task.md,45e0a04b009f554596afabc30dcdd2e1faa4e264,97,100644
certificate-manager,zhaochen,zhaochen,tasks/zhaochen/certificate-manager/evaluation/main.py,tasks/finalpool/certificate-manager/evaluation/main.py,8a10dea7101bb643cd55ba7550cc7f4201ea0dc6,282,100644
chat-bot,lv,lv,tasks/lv/chat-bot/docs/agent_system_prompt.md,tasks/finalpool/chat-bot/docs/agent_system_prompt.md,93526c818769a2eb93b8100787270a9e24c095c1,115,100644
chat-bot,lv,lv,tasks/lv/chat-bot/docs/task.md,tasks/finalpool/chat-bot/docs/task.md,333f77688bea51dbd2dc881b606d7caf92daa7cf,75,100644
chat-bot,lv,lv,tasks/lv/chat-bot/docs/user_system_prompt.md,tasks/finalpool/chat-bot/docs/user_system_prompt.md,1655610d1ab930c63034e63449ed45edf0e68511,43,100644
chat-bot,lv,lv,tasks/lv/chat-bot/evaluation/main.py,tasks/finalpool/chat-bot/evaluation/main.py,c8b7543e0f1b17c0c421ad8183b43bc7e1336bda,271,100644
chat-bot,lv,lv,tasks/lv/chat-bot/initial_workspace/readme.txt,tasks/finalpool/chat-bot/initial_workspace/readme.txt,949b059ef5b74403f49adee71c724dfa49e87c2b,31,100644
chat-bot,lv,lv,tasks/lv/chat-bot/preprocess/main.py,tasks/finalpool/chat-bot/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
client-portal,lueyang-dev,lueyang,tasks/lueyang/client-portal/docs/agent_system_prompt.md,tasks/finalpool/client-portal/docs/agent_system_prompt.md,1517f069a2e75f7bbeb96e588a7c2d45c40afd03,120,100644
client-portal,lueyang-dev,lueyang,tasks/lueyang/client-portal/docs/task.md,tasks/finalpool/client-portal/docs/task.md,b2972de7e633dae74f8ae9c536fcee13f13d480f,85,100644
client-portal,lueyang-dev,lueyang,tasks/lueyang/client-portal/docs/user_system_prompt.md,tasks/finalpool/client-portal/docs/user_system_prompt.md,b5798087f827b8009c97d6b276b635567e894877,48,100644
client-portal,lueyang-dev,lueyang,tasks/lueyang/client-portal/evaluation/main.py,tasks/finalpool/client-portal/evaluation/main.py,33542a01153bf3948dafea667a86f190ea6048b0,276,100644
client-portal,lueyang-dev,lueyang,tasks/lueyang/client-portal/groundtruth_workspace/readme.txt,tasks/finalpool/client-portal/groundtruth_workspace/readme.txt,eb8eb2900079dd7b509bd5b27458e6449ec9e7c1,35,100644
client-portal,lueyang-dev,lueyang,tasks/lueyang/client-portal/initial_workspace/readme.txt,tasks/finalpool/client-portal/initial_workspace/readme.txt,612f91ae44c788a04fffa2b967f36c729c95df24,36,100644
client-portal,lueyang-dev,lueyang,tasks/lueyang/client-portal/preprocess/main.py,tasks/finalpool/client-portal/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
cms-builder,gyy,gyy,tasks/gyy/cms-builder/docs/agent_system_prompt.md,tasks/finalpool/cms-builder/docs/agent_system_prompt.md,3fd93f44036bcc7e00ff5a3cb4ba0d0df974e534,118,100644
cms-builder,gyy,gyy,tasks/gyy/cms-builder/docs/task.md,tasks/finalpool/cms-builder/docs/task.md,3e0263be849fa646d773661b1901d82d95bb9c51,81,100644
cms-builder,gyy,gyy,tasks/gyy/cms-builder/docs/user_system_prompt.md,tasks/finalpool/cms-builder/docs/user_system_prompt.md,7193c26ca6f2eb7e74680e2298823d32197ad9c2,46,100644
cms-builder,gyy,gyy,tasks/gyy/cms-builder/evaluation/main.py,tasks/finalpool/cms-builder/evaluation/main.py,84ccab21d4368d2ef25f2bdf62bb154288a984e7,274,100644
cms-builder,gyy,gyy,tasks/gyy/cms-builder/groundtruth_workspace/readme.txt,tasks/finalpool/cms-builder/groundtruth_workspace/readme.txt,ad6f4c0740f549423822fe29e8bca71d6e8bbd56,33,100644
cms-builder,gyy,gyy,tasks/gyy/cms-builder/initial_workspace/readme.txt,tasks/finalpool/cms-builder/initial_workspace/readme.txt,ecea21fcefdd1dfb5df8918401e4383eebae7fbc,34,100644
cms-builder,gyy,gyy,tasks/gyy/cms-builder/preprocess/main.py,tasks/finalpool/cms-builder/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
contact-manager,junteng_dev,junteng,tasks/junteng/contact-manager/docs/agent_system_prompt.md,tasks/finalpool/contact-manager/docs/agent_system_prompt.md,37a564aaf9099c8cedb30fcf68ff96688e2611bd,122,100644
contact-manager,junteng_dev,junteng,tasks/junteng/contact-manager/docs/task.md,tasks/finalpool/contact-manager/docs/task.md,047e004f43c5f76a2069e2027b65e740f1213acb,89,100644
contact-manager,junteng_dev,junteng,tasks/junteng/contact-manager/docs/user_system_prompt.md,tasks/finalpool/contact-manager/docs/user_system_prompt.md,f61c99cd042d195a59bc1d378f63ab9a2924f9ce,50,100644
contact-manager,junteng_dev,junteng,tasks/junteng/contact-manager/evaluation/main.py,tasks/finalpool/contact-manager/evaluation/main.py,8f2296d2d0b38234b96d07687c8d26d1a0e3beee,278,100644
contact-manager,junteng_dev,junteng,tasks/junteng/contact-manager/groundtruth_workspace/readme.txt,tasks/finalpool/contact-manager/groundtruth_workspace/readme.txt,56ed9150253f76819a49578b5447c0990160c654,37,100644
contact-manager,junteng_dev,junteng,tasks/junteng/contact-manager/preprocess/main.py,tasks/finalpool/contact-manager/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
content-manager,yuxuan-dev,yuxuan,tasks/yuxuan/content-manager/docs/agent_system_prompt.md,tasks/finalpool/content-manager/docs/agent_system_prompt.md,3416a4b47d329c938f120b6248e9b3e28d258b8e,122,100644
content-manager,yuxuan-dev,yuxuan,tasks/yuxuan/content-manager/docs/task.md,tasks/finalpool/content-manager/docs/task.md,02802002d11bbee5f45b22104cb33748889a8182,89,100644
content-manager,yuxuan-dev,yuxuan,tasks/yuxuan/content-manager/docs/user_system_prompt.md,tasks/finalpool/content-manager/docs/user_system_prompt.md,3da6f472407e19b4cebcaa0cfaa79c4333e49ee8,50,100644
content-manager,yuxuan-dev,yuxuan,tasks/yuxuan/content-manager/evaluation/main.py,tasks/finalpool/content-manager/evaluation/main.py,982a15a5b39b53f36910a059262fa96900acc75d,278,100644
content-manager,yuxuan-dev,yuxuan,tasks/yuxuan/content-manager/groundtruth_workspace/readme.txt,tasks/finalpool/content-manager/groundtruth_workspace/readme.txt,44cb7891244e9588c9f1b0bce289eb4248e4b9ca,37,100644
content-manager,yuxuan-dev,yuxuan,tasks/yuxuan/content-manager/initial_workspace/readme.txt,tasks/finalpool/content-manager/initial_workspace/readme.txt,b620fa680180176c6fd35f999f5024c398c1773c,38,100644
content-manager,yuxuan-dev,yuxuan,tasks/yuxuan/content-manager/preprocess/main.py,tasks/finalpool/content-manager/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
content-scheduler,gyy,gyy,tasks/gyy/content-scheduler/docs/agent_system_prompt.md,tasks/finalpool/content-scheduler/docs/agent_system_prompt.md,1e0c0a27995f9650cf4b2899ea778b873039f7f6,124,100644
content-scheduler,gyy,gyy,tasks/gyy/content-scheduler/docs/task.md,tasks/finalpool/content-scheduler/docs/task.md,de4bf4aad451d8ac4656459035e0d9ad5d887fd9,93,100644
content-scheduler,gyy,gyy,tasks/gyy/content-scheduler/docs/user_system_prompt.md,tasks/finalpool/content-scheduler/docs/user_system_prompt.md,341037927a67a56109c10f2b07cb6b8f7152c70d,52,100644
content-scheduler,gyy,gyy,tasks/gyy/content-scheduler/evaluation/main.py,tasks/finalpool/content-scheduler/evaluation/main.py,1f76ffb0b29aa7b71ea73bcb1514e37cb9340cbd,280,100644
content-scheduler,gyy,gyy,tasks/gyy/content-scheduler/preprocess/main.py,tasks/finalpool/content-scheduler/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
coupon-manager,fan-dev,fan,tasks/fan/coupon-manager/docs/agent_system_prompt.md,tasks/finalpool/coupon-manager/docs/agent_system_prompt.md,a4125f15caf53f4a7e5a9da98729e0fe012df463,121,100644
coupon-manager,fan-dev,fan,tasks/fan/coupon-manager/docs/task.md,tasks/finalpool/coupon-manager/docs/task.md,d000140885bef28764fb67c9e8150f6582949e2f,87,100644
coupon-manager,fan-dev,fan,tasks/fan/coupon-manager/evaluation/main.py,tasks/finalpool/coupon-manager/evaluation/main.py,123fa3d7df8f6f8037b8e2264e8c4f31c66a5666,277,100644
coupon-manager,fan-dev,fan,tasks/fan/coupon-manager/groundtruth_workspace/readme.txt,tasks/finalpool/coupon-manager/groundtruth_workspace/readme.txt,cb660dd46db076cff399b0037cf492388776aed3,36,100644
crm-system,lueyang-dev,lueyang,tasks/lueyang/crm-system/docs/agent_system_prompt.md,tasks/finalpool/crm-system/docs/agent_system_prompt.md,aed247732dfcb2aa1e5ea9630626ca867282307e,117,100644
crm-system,lueyang-dev,lueyang,tasks/lueyang/crm-system/docs/task.md,tasks/finalpool/crm-system/docs/task.md,e99bf9b1a7b9de74288af440f69db4847592ac62,79,100644
crm-system,lueyang-dev,lueyang,tasks/lueyang/crm-system/docs/user_system_prompt.md,tasks/finalpool/crm-system/docs/user_system_prompt.md,3200c3655e06c0553894fe203e877dc8da945f25,45,100644
crm-system,lueyang-dev,lueyang,tasks/lueyang/crm-system/evaluation/main.py,tasks/finalpool/crm-system/evaluation/main.py,b0218b569f70f338a79124893d017a14582b5f38,273,100644
crm-system,lueyang-dev,lueyang,tasks/lueyang/crm-system/groundtruth_workspace/readme.txt,tasks/finalpool/crm-system/groundtruth_workspace/readme.txt,fd607ce9183b1793dd474638dbd68a4ac8aa3521,32,100644
crm-system,lueyang-dev,lueyang,tasks/lueyang/crm-system/initial_workspace/readme.txt,tasks/finalpool/crm-system/initial_workspace/readme.txt,862860d2ef59948fc1686d1d8ce95658943530c4,33,100644
crm-system,lueyang-dev,lueyang,tasks/lueyang/crm-system/preprocess/main.py,tasks/finalpool/crm-system/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
customer-feedback-processor,jl_dev,jl,tasks/jl/customer-feedback-processor/docs/agent_system_prompt.md,tasks/finalpool/customer-feedback-processor/docs/agent_system_prompt.md,157b0b4847df890b300a85a9d7f188e5e6c24bfb,134,100644
customer-feedback-processor,jl_dev,jl,tasks/jl/customer-feedback-processor/docs/task.md,tasks/finalpool/customer-feedback-processor/docs/task.md,2f669aeb7fdc408ff850003005d3e4c121b64393,113,100644
customer-feedback-processor,jl_dev,jl,tasks/jl/customer-feedback-processor/evaluation/main.py,tasks/finalpool/customer-feedback-processor/evaluation/main.py,f12b85da1b6d3aea254fa5f405e20272b2ddb529,290,100644
customer-feedback-processor,jl_dev,jl,tasks/jl/customer-feedback-processor/groundtruth_workspace/readme.txt,tasks/finalpool/customer-feedback-processor/groundtruth_workspace/readme.txt,4b0898f2c6af4ddb8c30f6dc5f6098b06ccbf64a,49,100644
customer-feedback-processor,jl_dev,jl,tasks/jl/customer-feedback-processor/initial_workspace/readme.txt,tasks/finalpool/customer-feedback-processor/initial_workspace/readme.txt,e3f4210010ee569bf73d28942d7af72dfc2b39b2,50,100644
data-analytics,ruige,ruige,tasks/ruige/data-analytics/docs/agent_system_prompt.md,tasks/finalpool/data-analytics/docs/agent_system_prompt.md,30f7f40b714d40557a8ada656d89738fe37e3d35,121,100644
data-analytics,ruige,ruige,tasks/ruige/data-analytics/docs/task.md,tasks/finalpool/data-analytics/docs/task.md,fc59c3f6f70d04cc8619eacf7308d9aa008ab026,87,100644
data-analytics,ruige,ruige,tasks/ruige/data-analytics/evaluation/main.py,tasks/finalpool/data-analytics/evaluation/main.py,da13921e56f67ae3cb3cb803916fea1328a7509a,277,100644
data-analytics,ruige,ruige,tasks/ruige/data-analytics/groundtruth_workspace/readme.txt,tasks/finalpool/data-analytics/groundtruth_workspace/readme.txt,a75ccdc4512d71a637add259c6bbcee983869014,36,100644
data-analytics,ruige,ruige,tasks/ruige/data-analytics/preprocess/main.py,tasks/finalpool/data-analytics/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
data-validator,yuzhen-dev,yuzhen,tasks/yuzhen/data-validator/docs/agent_system_prompt.md,tasks/finalpool/data-validator/docs/agent_system_prompt.md,4fdcc385006691101b328791c081dcff00f0eb52,121,100644
data-validator,yuzhen-dev,yuzhen,tasks/yuzhen/data-validator/docs/task.md,tasks/finalpool/data-validator/docs/task.md,43c54ce05bf411c675595b3531d8da5249793e9f,87,100644
data-validator,yuzhen-dev,yuzhen,tasks/yuzhen/data-validator/evaluation/main.py,tasks/finalpool/data-validator/evaluation/main.py,ec160b52e6c25a3b82ea801647627505220c41fa,277,100644
data-validator,yuzhen-dev,yuzhen,tasks/yuzhen/data-validator/initial_workspace/readme.txt,tasks/finalpool/data-validator/initial_workspace/readme.txt,4613c754e34d5d49ed8ccdfd523e5f9ed4619c81,37,100644
data-validator,yuzhen-dev,yuzhen,tasks/yuzhen/data-validator/preprocess/main.py,tasks/finalpool/data-validator/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
deal-manager,lueyang-dev,lueyang,tasks/lueyang/deal-manager/docs/agent_system_prompt.md,tasks/finalpool/deal-manager/docs/agent_system_prompt.md,822d0dce4136a7099d835616a2ad4e7dbabd83ea,119,100644
deal-manager,lueyang-dev,lueyang,tasks/lueyang/deal-manager/docs/task.md,tasks/finalpool/deal-manager/docs/task.md,485125d05365a3496ea634487f779aaf4ac54f0d,83,100644
deal-manager,lueyang-dev,lueyang,tasks/lueyang/deal-manager/evaluation/main.py,tasks/finalpool/deal-manager/evaluation/main.py,ca2d0cdee461c21f47136a1ea1acb1a080c4c734,275,100644
deal-manager,lueyang-dev,lueyang,tasks/lueyang/deal-manager/groundtruth_workspace/readme.txt,tasks/finalpool/deal-manager/groundtruth_workspace/readme.txt,771c7bea48d247928eb5451fbbb1f744d58bfc60,34,100644
deal-manager,lueyang-dev,lueyang,tasks/lueyang/deal-manager/preprocess/main.py,tasks/finalpool/deal-manager/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
deployment-tool,xiaochen_dev,xiaochen,tasks/xiaochen/deployment-tool/docs/agent_system_prompt.md,tasks/finalpool/deployment-tool/docs/agent_system_prompt.md,439254e7f3f367bbdb78937473c1370faca127a0,122,100644
deployment-tool,xiaochen_dev,xiaochen,tasks/xiaochen/deployment-tool/docs/task.md,tasks/finalpool/deployment-tool/docs/task.md,d2ed062095391518fb6782a6cec664197ee1ce3a,89,100644
deployment-tool,xiaochen_dev,xiaochen,tasks/xiaochen/deployment-tool/docs/user_system_prompt.md,tasks/finalpool/deployment-tool/docs/user_system_prompt.md,0f8ca4f49eb0995292794fbe362a0a2faabf3fa1,50,100644
deployment-tool,xiaochen_dev,xiaochen,tasks/xiaochen/deployment-tool/evaluation/main.py,tasks/finalpool/deployment-tool/evaluation/main.py,f51f8d260c56e40e8f0ef31ede8abcf613398665,278,100644
deployment-tool,xiaochen_dev,xiaochen,tasks/xiaochen/deployment-tool/groundtruth_workspace/readme.txt,tasks/finalpool/deployment-tool/groundtruth_workspace/readme.txt,059c7ef13be2d6f6922e45043f5a87da07d274da,37,100644
deployment-tool,xiaochen_dev,xiaochen,tasks/xiaochen/deployment-tool/preprocess/main.py,tasks/finalpool/deployment-tool/preprocess/main.py,9b394352cab8316b37f15f0172e79d0e7e629e9e,56,100644
discount-calculator,fan-dev,fan,tasks/fan/discount-calculator/docs/agent_system_prompt.md,tasks/finalpool/discount-calculator/docs/agent_system_prompt.md,1bdcfd62f608ab9f2aaaf551f49bbfb0af7d724f,126,100644
discount-calculator,fan-dev,fan,tasks/fan/discount-calculator/docs/task.md,tasks/finalpool/discount-calculator/docs/task.md,3d8ecabfbc24bdfede1fd777cfb9f0261283e6db,97,100644
discount-calculator,fan-dev,fan,tasks/fan/discount-calculator/evaluation/main.py,tasks/finalpool/discount-calculator/evaluation/main.py,b9e4eef4c4e300196112685ff154117c67a91c38,282,100644
